TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE
DISH;1023551;46513;ПР-СТ-80 Кр У (крышка к тирамису);Штуки;0.00;;;0.00;0.00;0.00
DISH;1023553;46513;ПР-СТ-80*45 (контейнер для тирамису);Штуки;0.00;;;0.00;0.00;0.00
GOODS;976149;46514;Пакет бумажный;Штуки;0.00;;;0.00;0.00;0.00
DISH;1002730;51052;Пакет фасовочный;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1009711;49993;Пектин;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1013057;49993;Перец красный сладкий;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009721;49993;Перец черный горошком;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009695;49993;Перец черный молотый;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1161184;49995;Перловка отварная п/ф;Килограммы;3510.00;;;0.00;0.00;0.00
DISH;991354;51052;Перчатки винил;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1009719;49993;Печенье Савоярди 500 г.;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1034324;55900;Пика пласт. БУЛАВА;Штуки;0.00;;;0.00;0.00;0.00
DISH;1020713;51052;Пленка;Штуки;0.00;;;0.00;0.00;0.00
DISH;1040289;46543;Подарочный сертификат 1000 Р;Штуки;0.00;;;0.00;0.00;1000.00
DISH;1040294;46543;Подарочный сертификат 2000 Р;Штуки;0.00;;;0.00;0.00;2000.00
DISH;1040281;46543;Подарочный сертификат 500 Р;Штуки;0.00;;;0.00;0.00;500.00
DISH;996828;51052;Полотенце Vсложения;Штуки;0.00;;;0.00;0.00;0.00
DISH;1032012;51052;Полотно вафельное 60 м/рул.;Штуки;0.00;;;0.00;0.00;0.00
DISH;1148077;49993;Помидоры Черри;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1045003;51052;Помпа-дозатор, 28мм, 5 мл.;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1095141;46512;Посыпка для напитков;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1017630;49993;Приправа 4 перца;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1019302;49995;Пропитка Классическая;Литр;110.00;;;0.00;0.00;0.00
PREPARED;1019284;49995;Пропитка для Тирамису;Литр;122.00;;;0.00;0.00;0.00
GOODS;1009761;49993;Пюре манго заморож.;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;893495;46514;Размешиватель деревянный в и/у;Штуки;0.00;;;0.00;0.00;0.00
GOODS;962339;49993;Разрыхлитель теста;Килограммы;1000.00;;;0.00;0.00;0.00
PREPARED;1153217;49993;Рассол огуречный;Литр;1000.00;;;0.00;0.00;0.00
DISH;1120015;48454;Растительное молоко;Штуки;0.00;;;0.00;0.00;0.00
DISH;1119459;44991;Раф Кофе L;Штуки;360.00;;;0.00;0.00;210.00
DISH;1119457;44991;Раф Кофе M;Штуки;315.00;;;0.00;0.00;174.00
DISH;1119455;44991;Раф Кофе S;Штуки;175.00;;;0.00;0.00;130.00
DISH;1123307;46510;Раф Малина Кокос M;Штуки;297.00;;;0.00;0.00;229.00
DISH;1123371;46510;Раф Малина Кокос XL;Штуки;547.00;;;0.00;0.00;310.00
DISH;1123400;57574;Раф Персик Чили M;Штуки;322.00;;;0.00;0.00;229.00
DISH;1123401;57574;Раф Персик Чили XL;Штуки;592.00;;;0.00;0.00;310.00
DISH;1123384;46511;Раф Черника Голубика M;Штуки;316.00;;;0.00;0.00;235.00
DISH;1123385;46511;Раф Черника Голубика XL;Штуки;536.00;;;0.00;0.00;310.00
